D;255;99;25;D - 6 Avenue Express
6X;0;166;92;6X - Lexington Avenue Express
E;40;80;173;E - 8 Avenue Local
F;255;99;25;F - Queens Blvd Express/ 6 Av Local
G;108;190;69;G - Brooklyn-Queens Crosstown
A;40;80;173;A - 8 Avenue Express
B;255;99;25;B - 6 Avenue Express
C;40;80;173;C - 8 Avenue Local
L;167;169;172;L - 14 St-Canarsie Local
M;255;99;25;M - QNS BLVD-6th AVE/ Myrtle Local
N;252;204;10;N - Broadway Express
J;153;102;51;J - Nassau St Local
Q;252;204;10;Q - Broadway Express
S;255;255;255;S - Rockaway Park Shuttle
R;252;204;10;R - Broadway Local
Z;153;102;51;Z - Nassau St Express
SIR;255;255;255;SIR - Staten Island Railway
3;238;53;46;3 - 7 Avenue Express
2;238;53;46;2 - 7 Avenue Express
1;238;53;46;1 - Broadway - 7 Avenue Local
7;185;51;173;7 - Flushing Local
6;0;147;60;6 - Lexington Avenue Local
5;0;147;60;5 - Lexington Avenue Express
4;0;147;60;4 - Lexington Avenue Express
7X;185;51;173;7X - Flushing Express
